log_date,active_tname,fans_label,uu,uu_non,uu_asc,uu_des,uu_month_ratio,uu_non_month_ratio,uu_asc_month_ratio,uu_des_month_ratio
20190430,数码,4,320,308,12,0,1.01910828,0.98089172,0.038216561,
20190430,数码,5,64,57,7,0,1.122807018,1,0.122807018,
20190430,时尚,1,46427,42500,0,26,1.069647959,0.979172427,,0.000599023
20190430,时尚,2,7300,6756,406,11,1.046294969,0.968324495,0.0581912,0.001576609
20190430,时尚,3,4269,3985,235,2,1.043000244,0.973613486,0.057415099,0.000488639
20190430,时尚,4,1476,1388,85,1,1.044585987,0.982307148,0.060155697,0.000707714
20190430,时尚,5,260,245,15,0,1.069958848,1.008230453,0.061728395,
20190430,游戏,0,3,3,0,0,1,1,,
20190430,游戏,1,1168523,1100660,0,370,1.047904949,0.987046948,,0.000331808
20190430,游戏,2,87651,81023,5698,68,1.056392518,0.976510148,0.068673769,0.000819554
20190430,游戏,3,28059,26198,1590,10,1.055841957,0.985813735,0.059830668,0.000376294
20190430,游戏,4,4833,4610,215,1,1.036901952,0.989058142,0.04612744,0.000214546
20190430,游戏,5,589,566,23,0,1.035149385,0.994727592,0.040421793,
20190430,生活,0,5,5,0,0,1,1,,
20190430,生活,1,1013146,915501,0,194,1.092184086,0.986921552,,0.000209134
20190430,生活,2,61437,55192,4944,53,1.082361439,0.97234065,0.087100525,0.000933723
20190430,生活,3,22175,20324,1538,5,1.068365774,0.979186741,0.074099056,0.000240894
20190430,生活,4,5112,4800,292,0,1.052718287,0.988467875,0.060131796,
20190430,生活,5,756,712,43,0,1.057342657,0.995804196,0.06013986,
